,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s20883695,20883695,김경희헤어컬렉션,1.0,1.0,1.0
1,s1375533482,1375533482,머리랑가위랑,1.0,1.0,1.0
2,s1241736986,1241736986,머리사랑,1.0,1.0,1.0
3,s1082999502,1082999502,삼성미용실,1.0,1.0,1.0
4,s1963040276,1963040276,노숙현미용실,1.0,1.0,1.0
5,s1113991197,1113991197,폭스헤어메이크,1.0,1.0,1.0
6,s18195496,18195496,이미지헤어,1.0,1.0,1.0
7,s20837322,20837322,젠느헤어,1.0,1.0,1.0
8,s37430287,37430287,작은미용실,1.0,1.0,1.0
9,s949155250,949155250,운애헤어샵,1.0,1.0,1.0
10,s855802408,855802408,정혜원알레이미용실,1.0,1.0,1.0
11,s1091097578,1091097578,엘리시아,1.0,1.0,1.0
12,s1816239134,1816239134,머리못하는집 봉천28호점,1.0,1.0,1.0
13,s1190526053,1190526053,쌤헤어,1.0,1.0,1.0
14,s920955186,920955186,헤어스토리,1.0,1.0,1.0
15,s18185788,18185788,헤어닷컴,1.0,1.0,1.0
16,s20891138,20891138,303헤어,1.0,1.0,1.0
17,s18727746,18727746,수미미용실,1.0,1.0,1.0
18,s1921379528,1921379528,헤어byMY,1.0,1.0,1.0
19,s20848975,20848975,모던헤어,1.0,1.0,1.0
20,s18698530,18698530,윤헤어샵,1.0,1.0,1.0
21,s35957990,35957990,헤어이베리스,1.0,1.0,1.0
22,s123705147,123705147,챠밍헤어,1.0,1.0,1.0
23,s380759917,380759917,샴푸보이,1.0,1.0,1.0
24,s1924371756,1924371756,젠틀맨,1.0,1.0,1.0
25,s18735375,18735375,표정있는머리,1.0,1.0,1.0
26,s20925376,20925376,김연희헤어,1.0,1.0,1.0
27,s632899264,632899264,제이헤어,1.0,1.0,1.0
28,s138794226,138794226,스마일리헤어스튜디오,1.0,1.0,1.0
29,s683846920,683846920,강격숙미용실,1.0,1.0,1.0
30,s20933018,20933018,쎄씨헤어,1.0,1.0,1.0
31,s20925537,20925537,원헤어갤러리,1.0,1.0,1.0
32,s18700744,18700744,아이리스헤어샵,1.0,1.0,1.0
33,s1552945246,1552945246,품격,1.0,1.0,1.0
34,s19381845,19381845,에코헤어,1.0,1.0,1.0
35,s902169202,902169202,미카헤어,1.0,1.0,1.0
36,s1428113170,1428113170,벨라헤어,1.0,1.0,1.0
37,s1937684843,1937684843,디그니티헤어,1.0,1.0,1.0
38,s18697579,18697579,느티나무머리방,1.0,1.0,1.0
39,s1721744615,1721744615,이정헤어,1.0,1.0,1.0
40,s18700611,18700611,알파미용실,1.0,1.0,1.0
41,s20810683,20810683,신주꾸헤어 신림점,1.0,1.0,1.0
42,s37896026,37896026,hair by the J M 난곡점,1.0,1.0,1.0
43,s35408067,35408067,HAIR by the J M,1.0,1.0,1.0
44,s53760408,53760408,행원,1.0,1.0,1.0
45,s20917865,20917865,헤어살롱라인미장,1.0,1.0,1.0
46,s1876211039,1876211039,샨헤어,1.0,1.0,1.0
47,s20883643,20883643,미림헤어샵 신림점,1.0,1.0,1.0
48,s938744181,938744181,프린세스,1.0,1.0,1.0
49,s18725680,18725680,신데렐라헤어,1.0,1.0,1.0
50,s20901647,20901647,시은미용실,1.0,1.0,1.0
51,s1209582727,1209582727,멋내기터 신림점,1.0,1.0,1.0
52,s749865812,749865812,듀크헤어,1.0,1.0,1.0
53,s84846697,84846697,헤라,1.0,1.0,1.0
54,s18195480,18195480,김성화헤어아트,1.0,1.0,1.0
55,s122684225,122684225,미쁘다헤어,1.0,1.0,1.0
56,s1813079772,1813079772,비젼헤어,1.0,1.0,1.0
57,s20921603,20921603,헤어리드,1.0,1.0,1.0
58,s1473075007,1473075007,헤어라떼,1.0,1.0,1.0
59,s18709759,18709759,헤어블랑,1.0,1.0,1.0
60,s540818034,540818034,열린미용실,1.0,1.0,1.0
61,s1875833690,1875833690,헤어살롱미호,1.0,1.0,1.0
62,s20940486,20940486,헤어스토리,1.0,1.0,1.0
63,s21341725,21341725,헤어리더미용실,1.0,1.0,1.0
64,s1319133965,1319133965,헤나머리방,1.0,1.0,1.0
65,s587302999,587302999,금발헤어,1.0,1.0,1.0
66,s141207397,141207397,보보스헤어,1.0,1.0,1.0
67,s20821349,20821349,송지연헤어샵,1.0,1.0,1.0
68,s1531208399,1531208399,미르헤어,1.0,1.0,1.0
69,s20879942,20879942,김정숙헤어샵,1.0,1.0,1.0
70,s298038636,298038636,쥬드헤어,1.0,1.0,1.0
71,s18157218,18157218,산리쯔헤어 난곡점,1.0,1.0,1.0
72,s33684571,33684571,호용희헤어스타일리스트,1.0,1.0,1.0
73,s37117023,37117023,스테이415,1.0,1.0,1.0
74,s19866051,19866051,헤어효,1.0,1.0,1.0
75,s1754139999,1754139999,착한이용원,1.0,1.0,1.0
76,s1952307275,1952307275,러블리헤어,1.0,1.0,1.0
77,s13377141,13377141,살롱드루시아,1.0,1.0,1.0
78,s13153470,13153470,박경지헤어샵,1.0,1.0,1.0
79,s1572434611,1572434611,가이아헤어,1.0,1.0,1.0
80,s20871950,20871950,평화미용실,1.0,1.0,1.0
81,s1527105525,1527105525,실크헤어,1.0,1.0,1.0
82,s1624940939,1624940939,조이헤어,1.0,1.0,1.0
83,s1811980593,1811980593,리나헤어,1.0,1.0,1.0
84,s1993238692,1993238692,bay51,1.0,1.0,1.0
85,s35221575,35221575,시온헤어,1.0,1.0,1.0
86,s20917700,20917700,김유정헤어토픽,1.0,1.0,1.0
87,s255453303,255453303,헤어뉴스,1.0,1.0,1.0
88,s861935060,861935060,남현헤어샵,1.0,1.0,1.0
89,s1709344665,1709344665,민비미용실,1.0,1.0,1.0
90,s18735273,18735273,미소헤어샵,1.0,1.0,1.0
91,s1585284096,1585284096,권성희헤어아트,1.0,1.0,1.0
92,k18170173,18170173,미가나머리방,1.0,1.0,1.0
93,s18730944,18730944,헤어월드,1.0,1.0,1.0
94,s1321537650,1321537650,민정헤어샵,1.0,1.0,1.0
95,s38272282,38272282,현헤어아트,1.0,1.0,1.0
96,s1679762636,1679762636,개미미용실,1.0,1.0,1.0
97,s20898879,20898879,유수아헤어샵,1.0,1.0,1.0
98,s20871932,20871932,헤어두,1.0,1.0,1.0
99,s20875865,20875865,최영자헤어클럽,1.0,1.0,1.0
100,s1075411266,1075411266,리치헤어클리닉,1.0,1.0,1.0
101,s1570214355,1570214355,서임미용실,1.0,1.0,1.0
102,s53749884,53749884,헤어월드,1.0,1.0,1.0
103,s272866608,272866608,하이클라스 신림점,1.0,1.0,1.0
104,s989814214,989814214,혜원헤어크리닉,1.0,1.0,1.0
105,s13161211,13161211,헤어크리닉 해와달,1.0,1.0,1.0
106,s20906471,20906471,원헤어,1.0,1.0,1.0
107,s20894861,20894861,머리풍경,1.0,1.0,1.0
108,s33166606,33166606,비타민헤어,1.0,1.0,1.0
109,s13430030,13430030,신데렐라,1.0,1.0,1.0
110,s18710295,18710295,신데렐라헤어샵,1.0,1.0,1.0
111,s1204318893,1204318893,예원미용실,1.0,1.0,1.0
112,s18723516,18723516,세리헤어,1.0,1.0,1.0
113,s18694978,18694978,김씨머리방,1.0,1.0,1.0
114,s1159767375,1159767375,이재옥헤어크리닉,1.0,1.0,1.0
115,s11660614,11660614,야마노 미용실,1.0,1.0,1.0
116,s18177493,18177493,샤론미용실,1.0,1.0,1.0
117,s20936931,20936931,한유진헤어샵,1.0,1.0,1.0
118,s431557724,431557724,미앤정헤어샵,1.0,1.0,1.0
119,s20940658,20940658,임수경미용실,1.0,1.0,1.0
120,s18203165,18203165,임순옥헤어타임,1.0,1.0,1.0
121,s37544073,37544073,가위소리,1.0,1.0,1.0
122,s20902518,20902518,팅커벨,1.0,1.0,1.0
123,s18698169,18698169,롯데미용실,1.0,1.0,1.0
124,s20887443,20887443,칼라헤어뱅크,1.0,1.0,1.0
125,s11729699,11729699,블루클럽 봉천점,1.0,1.0,1.0
126,s13156728,13156728,수헤어갤러리,1.0,1.0,1.0
127,s13156770,13156770,준헤어크리닉,1.0,1.0,1.0
128,s1503631711,1503631711,1004헤어필,1.0,1.0,1.0
129,s20864215,20864215,하니미용실,1.0,1.0,1.0
130,s20909574,20909574,NiceGuy방화역점,1.0,1.0,1.0
131,s1278614232,1278614232,댕기미용실,1.0,1.0,1.0
132,s799135832,799135832,댕기머리헤어,1.0,1.0,1.0
133,s20875942,20875942,문지혜미용실,1.0,1.0,1.0
134,s18194463,18194463,리안헤어 낙성대점,1.0,1.0,1.0
135,s1492779588,1492779588,머리하는날,1.0,1.0,1.0
136,s571676663,571676663,푸른미용실,1.0,1.0,1.0
137,s11635613,11635613,블루클럽 봉천6동점,1.0,1.0,1.0
138,s1380392593,1380392593,MJ헤어,1.0,1.0,1.0
139,s12989563,12989563,심윤심헤어,1.0,1.0,1.0
140,s1923089966,1923089966,헤어누누,1.0,1.0,1.0
141,s1978588251,1978588251,두가이헤어,1.0,1.0,1.0
142,s1658641516,1658641516,더맨 신대방점,1.0,1.0,1.0
143,s1482738987,1482738987,두보레미용실,1.0,1.0,1.0
144,s36005214,36005214,진헤어샵,1.0,1.0,1.0
145,s1688513021,1688513021,현대헤어클럽,1.0,1.0,1.0
146,s18732371,18732371,은영헤어,1.0,1.0,1.0
147,s682463864,682463864,까미헤어솔루션,1.0,1.0,1.0
148,s1370355167,1370355167,김민헤어라인,1.0,1.0,1.0
149,s1860047879,1860047879,김미연헤어,1.0,1.0,1.0
150,s20914049,20914049,머리가날개,1.0,1.0,1.0
151,s20936953,20936953,퀸미용실,1.0,1.0,1.0
152,s18719172,18719172,르네상스헤어,1.0,1.0,1.0
153,s18145698,18145698,더헤어샵,1.0,1.0,1.0
154,s1757867198,1757867198,더예쁨,1.0,1.0,1.0
155,s21341649,21341649,보노헤어,1.0,1.0,1.0
156,s483831922,483831922,서임헤어,1.0,1.0,1.0
