,store_id,store_name,error_code,original_index
0,13522443,박승철헤어스투디오 홍대점,500,31
1,38425836,더본헤어 동부시장점,요청하신 페이지를 찾을 수 없습니다.,103
2,35178693,제오헤어 신내점,요청하신 페이지를 찾을 수 없습니다.,265
3,36779229,준오헤어 왕십리역 2호점 VIP,요청하신 페이지를 찾을 수 없습니다.,326
