,store_id,store_name,error_code,original_index
0,34666096,살롱에이 목동2호점,요청하신 페이지를 찾을 수 없습니다.,608
1,36823352,제오헤어 천호점,요청하신 페이지를 찾을 수 없습니다.,631
2,36868273,이진헤어 대림역점,요청하신 페이지를 찾을 수 없습니다.,706
