,store_id,store_name,original_index,blog_tab
0,34754422,롤헤어 신림본점,811,https://m.place.naver.com/hairshop/34754422/review/ugc
1,20688327,리안헤어 당산역점,831,https://m.place.naver.com/hairshop/20688327/review/ugc
2,1218416981,Key of Hair,842,https://m.place.naver.com/hairshop/1218416981/review/ugc
3,1376972950,어바웃민 헤어,852,https://m.place.naver.com/hairshop/1376972950/review/ugc
4,1612975165,어반제이슨 헤어,849,https://m.place.naver.com/hairshop/1612975165/review/ugc
5,1042079600,아레스옴므,911,https://m.place.naver.com/hairshop/1042079600/review/ugc
6,1463793286,준희네미장원,978,https://m.place.naver.com/hairshop/1463793286/review/ugc
7,31542867,까 홍대점,1002,https://m.place.naver.com/hairshop/31542867/review/ugc
8,1871321543,은하수미장원,998,https://m.place.naver.com/hairshop/1871321543/review/ugc
9,1213233631,박승철헤어스투디오 아현점,1008,https://m.place.naver.com/hairshop/1213233631/review/ugc
10,1857813531,디유헤어,1037,https://m.place.naver.com/hairshop/1857813531/review/ugc
11,37495068,리안헤어 신방화역점,1045,https://m.place.naver.com/hairshop/37495068/review/ugc
12,1034545573,페이지헤어,1047,https://m.place.naver.com/hairshop/1034545573/review/ugc
