,store_id,store_name,original_index,blog_tab
0,1377489285,가위소리,2,https://m.place.naver.com/hairshop/1377489285/review/ugc
1,1301106348,이엠헤어,0,https://m.place.naver.com/hairshop/1301106348/review/ugc
2,19365874,콤마헤어,4,https://m.place.naver.com/hairshop/19365874/review/ugc
3,1425855148,오늘우리헤어,1,https://m.place.naver.com/hairshop/1425855148/review/ugc
4,1056773587,채진미장원CLASSJIN,3,https://m.place.naver.com/hairshop/1056773587/review/ugc
5,34849681,살롱엘라,7,https://m.place.naver.com/hairshop/34849681/review/ugc
6,1160965149,벤헤어,5,https://m.place.naver.com/hairshop/1160965149/review/ugc
7,1638695897,벨라로그,6,https://m.place.naver.com/hairshop/1638695897/review/ugc
8,1975179410,트리코드헤어살롱 by이철 마곡나루역점,8,https://m.place.naver.com/hairshop/1975179410/review/ugc
9,1941387660,도도헤어살롱,9,https://m.place.naver.com/hairshop/1941387660/review/ugc
10,37811931,헤어바이혁,13,https://m.place.naver.com/hairshop/37811931/review/ugc
11,1009586447,아리아헤어,14,https://m.place.naver.com/hairshop/1009586447/review/ugc
12,1575119094,바나니헤어에틀리에,10,https://m.place.naver.com/hairshop/1575119094/review/ugc
13,1214144289,오즈헤어,12,https://m.place.naver.com/hairshop/1214144289/review/ugc
14,37555920,스카이헤어,11,https://m.place.naver.com/hairshop/37555920/review/ugc
15,1221697807,H헤어,15,https://m.place.naver.com/hairshop/1221697807/review/ugc
16,37537948,김희경헤어그라또,18,https://m.place.naver.com/hairshop/37537948/review/ugc
17,222490071,제이프롬헤어,17,https://m.place.naver.com/hairshop/222490071/review/ugc
18,1239826648,ONL HAIR,19,https://m.place.naver.com/hairshop/1239826648/review/ugc
19,1801507199,JUST HAIR 1호점,21,https://m.place.naver.com/hairshop/1801507199/review/ugc
20,98331830,퍼스트헤어,20,https://m.place.naver.com/hairshop/98331830/review/ugc
21,1376598724,아이앤투헤어 장승배기점,23,https://m.place.naver.com/hairshop/1376598724/review/ugc
