,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s921871121,921871121,진헤어,37,1,13
1,s20621101,20621101,제오헤어 신길점,49,1,1
2,s37895631,37895631,지노헤어 신촌점,42,1,8
3,s19958198,19958198,고아라헤어케어 2호점,44,1,6
4,s20406421,20406421,산뜻헤어,49,1,1
5,s1429679306,1429679306,바오 상봉2호점,40,1,10
6,s1441651769,1441651769,블라잇 헤어,40,1,10
7,s36998626,36998626,이민헤어혼 신길점,47,1,3
8,s91569921,91569921,글래드헤어,45,1,4
9,s31391648,31391648,리안헤어 구수동사거리점,43,1,7
10,s1663363985,1663363985,리챠드프로헤어 강남교보점,39,1,10
11,s35652427,35652427,준오헤어 선릉역2호점,49,1,1
12,s1127441514,1127441514,베이바이허슬기 블랑점,44,1,5
13,s1180189607,1180189607,베이바이허슬기 레몬점,40,1,10
14,s37992862,37992862,제오헤어 개봉역점,48,1,1
15,s38462333,38462333,비클래시헤어,38,1,10
16,s1789128255,1789128255,로이드밤 중화역점,49,1,1
17,s11730537,11730537,쟈끄데상쥬 신천점,38,1,10
18,s1043717131,1043717131,벨라헤어,38,1,11
19,s144692934,144692934,박준뷰티랩 마곡역점,42,1,6
20,s978299821,978299821,박준뷰티랩 성균관대점,47,1,1
21,s33626434,33626434,토니앤가이 연희점,42,1,6
22,s13157549,13157549,이철헤어커커 신림포도몰점,40,1,9
23,s1163507885,1163507885,르블랑헤어,39,1,9
24,s17947654,17947654,가오다0927,38,1,10
25,s1507582889,1507582889,엔살롱,42,1,6
26,s1406862992,1406862992,예쁘다헤어,35,1,12
27,s37288519,37288519,박승철헤어스투디오 남가좌점,46,1,1
28,s1112194891,1112194891,나로헤어,47,1,1
29,s38248627,38248627,뮤즈헤어살롱,43,1,4
30,s21824587,21824587,박준뷰티랩 구일점,39,1,8
31,s804826552,804826552,앤아트헤어살롱,36,1,10
32,s1424578736,1424578736,Layer712,40,1,7
33,s1409456833,1409456833,조이드헤어,1,1,4
34,s553272782,553272782,1108SALON,35,1,11
35,s13177579,13177579,이철헤어커커 숙대점,43,1,3
36,s1325928865,1325928865,박승철헤어스투디오 까치산역점,37,1,10
37,s37127135,37127135,도고헤어,34,1,12
38,s37853341,37853341,더원스헤어,35,2,10
39,s21872405,21872405,준오헤어 강변역점,37,1,10
40,s1523542447,1523542447,어포스트로피헤어 홍대점,36,1,10
41,s13343512,13343512,박찬헤어스테이지,34,1,11
42,s1546415973,1546415973,애쉬헤어디자인,44,1,1
43,s36797097,36797097,맷블랙헤어성신여대점,35,1,10
44,s198564376,198564376,박승철헤어스투디오 공덕역점,45,1,1
45,s1202716300,1202716300,라로블 시흥점,37,1,8
46,s32779485,32779485,한결헤어,35,1,10
