,store_id,store_id_only_num,store_name,booking,receipt,blog,total
2813,s1708189552,1708189552,shytokki 토끼네미용실,1.0,1.0,1.0,3.0
2814,s12858177,12858177,샤인비앤비,1.0,1.0,1.0,3.0
2815,s21219666,21219666,비앤비헤어샵,1.0,1.0,1.0,3.0
2816,s11729872,11729872,블루클럽 창동점,1.0,1.0,1.0,3.0
2817,s20268351,20268351,장싸롱,1.0,1.0,1.0,3.0
2818,s1961956239,1961956239,한솔헤어컷,1.0,1.0,1.0,3.0
2819,s18630138,18630138,샤샤헤어샵,1.0,1.0,1.0,3.0
2820,s35142759,35142759,아인헤어,1.0,1.0,1.0,3.0
2821,s38590382,38590382,어퍼컷 마포점,1.0,1.0,1.0,3.0
2822,s18078189,18078189,김지연미용실,1.0,1.0,1.0,3.0
2823,s38463027,38463027,고운머리미용실,1.0,1.0,1.0,3.0
2824,s1664716506,1664716506,몽끌헤어,1.0,1.0,1.0,3.0
2825,s284158772,284158772,소프레사 상암DMC점,1.0,1.0,1.0,3.0
2826,s253090420,253090420,더지오,1.0,1.0,1.0,3.0
2827,s30982440,30982440,블루클럽 상암점,1.0,1.0,1.0,3.0
2828,s20850951,20850951,그린미용타운,1.0,1.0,1.0,3.0
2829,s17994597,17994597,신세계헤어,1.0,1.0,1.0,3.0
2830,s1192116301,1192116301,남성컷 쿨헤어,1.0,1.0,1.0,3.0
2831,s1936603715,1936603715,한가희헤어샵,1.0,1.0,1.0,3.0
2832,s1046103364,1046103364,더헤어앤위그,1.0,1.0,1.0,3.0
2833,s32059357,32059357,인스타일,1.0,1.0,1.0,3.0
2834,s1401609066,1401609066,1029헤어클럽,1.0,1.0,1.0,3.0
2835,s20884725,20884725,비&비헤어,1.0,1.0,1.0,3.0
2836,s20969523,20969523,진헤어,1.0,1.0,1.0,3.0
2837,s18354609,18354609,소피아헤어,1.0,1.0,1.0,3.0
2838,s18632332,18632332,헤어스케치,1.0,1.0,1.0,3.0
2839,s1092945546,1092945546,여우머리미용실,1.0,1.0,1.0,3.0
2840,s20942630,20942630,YOU헤어뱅크,1.0,1.0,1.0,3.0
2841,s20919780,20919780,최윤정미용실,1.0,1.0,1.0,3.0
2842,s18764611,18764611,이혜원헤어샵,1.0,1.0,1.0,3.0
2843,s18633544,18633544,리우헤어샵,1.0,1.0,1.0,3.0
2844,s20843206,20843206,서영이가위소리,1.0,1.0,1.0,3.0
2845,s18134600,18134600,유빈헤어,1.0,1.0,1.0,3.0
2846,s1658470996,1658470996,이지은헤어펌,1.0,1.0,1.0,3.0
2847,s1412386659,1412386659,마이헤어,1.0,1.0,1.0,3.0
2848,s20897020,20897020,오투헤어 방학점,1.0,1.0,1.0,3.0
2849,s1638192542,1638192542,바비헤어,1.0,1.0,1.0,3.0
2850,s1980019353,1980019353,파마해요,1.0,1.0,1.0,3.0
2851,s1419593506,1419593506,버르장머리헤어샵,1.0,1.0,1.0,3.0
2852,s20866456,20866456,다움헤어,1.0,1.0,1.0,3.0
2853,s1005623213,1005623213,애니헤어,1.0,1.0,1.0,3.0
2854,s1239720966,1239720966,이지헤어,1.0,1.0,1.0,3.0
2855,s17982802,17982802,산리쯔헤어 도봉점,1.0,1.0,1.0,3.0
2856,s20916059,20916059,블루클럽LG트윈빌점,1.0,1.0,1.0,3.0
2857,s1153241777,1153241777,예인헤어살롱,1.0,1.0,1.0,3.0
2858,s17998217,17998217,자매미용실,1.0,1.0,1.0,3.0
2859,s11729938,11729938,블루클럽 만리동점,1.0,1.0,1.0,3.0
2860,s1782280245,1782280245,마시모헤어,1.0,1.0,1.0,3.0
2861,s20862612,20862612,채영HairForYou,1.0,1.0,1.0,3.0
2862,s20835512,20835512,헤어포유쌍문점,1.0,1.0,1.0,3.0
2863,s20942815,20942815,거북미용실,1.0,1.0,1.0,3.0
2864,s21581916,21581916,비오비,1.0,1.0,1.0,3.0
2865,s1859930078,1859930078,진미용실,1.0,1.0,1.0,3.0
2866,s31392396,31392396,정재윤미용실,1.0,1.0,1.0,3.0
2867,s11729930,11729930,블루클럽 귀빈로점,1.0,1.0,1.0,3.0
2868,s20870347,20870347,머리사랑,1.0,1.0,1.0,3.0
2869,s37108489,37108489,501헤어all 창동점,1.0,1.0,1.0,3.0
2870,s18619438,18619438,나나헤어아트,1.0,1.0,1.0,3.0
2871,s18628059,18628059,최재림미용타운,1.0,1.0,1.0,3.0
2872,s1265712688,1265712688,이연헤어,1.0,1.0,1.0,3.0
2873,s1284229963,1284229963,훈스타일,1.0,1.0,1.0,3.0
2874,s20866352,20866352,토마토헤어,1.0,1.0,1.0,3.0
2875,s18631212,18631212,오렌지헤어클럽,1.0,1.0,1.0,3.0
2876,s35156236,35156236,치글헤어,1.0,1.0,1.0,3.0
2877,s1569691035,1569691035,최인비미용실,1.0,1.0,1.0,3.0
2878,s20916262,20916262,한울머리터,1.0,1.0,1.0,3.0
2879,s38531581,38531581,시저시스터살롱,1.0,1.0,1.0,3.0
2880,s37403034,37403034,심가나미장원,1.0,1.0,1.0,3.0
2881,s37442012,37442012,헤어하우스바이호란,1.0,1.0,1.0,3.0
2882,s18620113,18620113,하충희헤어,1.0,1.0,1.0,3.0
2883,s1913089113,1913089113,592,1.0,1.0,1.0,3.0
2884,s17996287,17996287,필헤어,1.0,1.0,1.0,3.0
2885,s1359823847,1359823847,조무겸헤어,1.0,1.0,1.0,3.0
2886,s38724947,38724947,안다미로 헤어살롱,1.0,1.0,1.0,3.0
2887,s18620428,18620428,미헤어공간,1.0,1.0,1.0,3.0
2888,s1689757302,1689757302,로라헤어쌀롱,1.0,1.0,1.0,3.0
2889,s1401765640,1401765640,센스미용실,1.0,1.0,1.0,3.0
2890,s20942361,20942361,보보헤어,1.0,1.0,1.0,3.0
2891,s1519483270,1519483270,붐헤어,1.0,1.0,1.0,3.0
2892,s1595718795,1595718795,박상국커트 앤 스파,1.0,1.0,1.0,3.0
2893,s1157641149,1157641149,아람살롱,1.0,1.0,1.0,3.0
2894,s21306270,21306270,살롱드 루시,1.0,1.0,1.0,3.0
2895,s31547331,31547331,포시즌헤어,1.0,1.0,1.0,3.0
2896,s20873988,20873988,머리짱,1.0,1.0,1.0,3.0
2897,s1224864946,1224864946,보브미용실,1.0,1.0,1.0,3.0
2898,s423723709,423723709,보브헤어,1.0,1.0,1.0,3.0
2899,s20835464,20835464,미를즐기는사람들,1.0,1.0,1.0,3.0
2900,s1932803272,1932803272,보브헤어,1.0,1.0,1.0,3.0
2901,s18795014,18795014,보브헤어,1.0,1.0,1.0,3.0
2902,s75039898,75039898,보브헤어,1.0,1.0,1.0,3.0
2903,s275248038,275248038,헤어샵호야,1.0,1.0,1.0,3.0
2904,s18905064,18905064,보브헤어,1.0,1.0,1.0,3.0
2905,s20942709,20942709,코드헤어,1.0,1.0,1.0,3.0
2906,s1631118951,1631118951,미헤어샵,1.0,1.0,1.0,3.0
2907,s18632619,18632619,세리미용실,1.0,1.0,1.0,3.0
2908,s20956083,20956083,IM헤어살롱,1.0,1.0,1.0,3.0
2909,s20832976,20832976,금메달미용실,1.0,1.0,1.0,3.0
2910,s20930959,20930959,다담헤어,1.0,1.0,1.0,3.0
2911,s1633564600,1633564600,명품머리결,1.0,1.0,1.0,3.0
2912,s1752808483,1752808483,재ee헤어,1.0,1.0,1.0,3.0
2913,s1128737373,1128737373,진헤어샵,1.0,1.0,1.0,3.0
2914,s701346535,701346535,잇츠미헤어,1.0,1.0,1.0,3.0
2915,s96817497,96817497,헤어샤샤,1.0,1.0,1.0,3.0
2916,s1704761294,1704761294,한수진헤어클럽,1.0,1.0,1.0,3.0
2917,s1232702536,1232702536,헤어스토리,1.0,1.0,1.0,3.0
2918,s1075373662,1075373662,지온헤어샵,1.0,1.0,1.0,3.0
2919,s1553756284,1553756284,온스타일 아델점,1.0,1.0,1.0,3.0
2920,s37382347,37382347,뷰티헤어,1.0,1.0,1.0,3.0
2921,s1722093081,1722093081,커스텀 헤어,1.0,1.0,1.0,3.0
2922,s95658987,95658987,Hairlab 반포점,1.0,1.0,1.0,3.0
2923,s1213736541,1213736541,JN헤어,1.0,1.0,1.0,3.0
2924,s1485108333,1485108333,아인헤어살롱,1.0,1.0,1.0,3.0
2925,s38547954,38547954,헤어엔유,1.0,1.0,1.0,3.0
2926,s88087420,88087420,청춘,1.0,1.0,1.0,3.0
