,store_id,store_id_only_num,store_name,booking,receipt,blog,total
0,s1518997092,1518997092,준오헤어 노원사거리점,2004,3,15,2022
1,s1571970153,1571970153,차홍룸 홍대점,1998,1,10,2009
2,s1142939643,1142939643,차홍룸 용산센트럴점,1861,3,11,1875
3,s1481443590,1481443590,차홍룸 용산점,1536,2,11,1549
4,s1177346002,1177346002,차홍룸 양재점,1363,1,10,1374
5,s1906769677,1906769677,차홍룸 삼성점,1320,2,10,1332
6,s1524045876,1524045876,차홍룸 신논현점,1278,2,10,1290
7,s32692564,32692564,CHOP헤어 신천점,963,1,11,975
8,s1088094452,1088094452,차홍룸 목동점,948,3,10,961
9,s1746174193,1746174193,차홍룸 신촌점,931,1,10,942
10,s1967312452,1967312452,차홍룸 한남점,878,1,10,889
11,s38642772,38642772,제오헤어 신촌점,849,2,10,861
12,s21331306,21331306,CHOP헤어 잠실점,773,1,11,785
13,s1349483891,1349483891,차홍룸 잠실점,723,2,11,736
14,s944203444,944203444,유니크바이,682,1,11,694
15,s37653586,37653586,박승철헤어스투디오 신촌점,679,1,10,690
16,s1026108143,1026108143,에이엠톤 본점,677,1,10,688
17,s1567835311,1567835311,박승철헤어스투디오 신림점,572,1,10,583
18,s34983865,34983865,준오헤어 서울대입구역점,565,2,10,577
19,s950329204,950329204,메종드아이디헤어 CBS목동점,549,11,10,570
20,s34585445,34585445,리안헤어 중랑역점,534,2,11,547
21,s32264673,32264673,이진헤어 노량진점,521,2,8,531
22,s37101503,37101503,CHOPHAIR 대치점,518,1,11,530
23,s37911640,37911640,박준뷰티랩 종각역점,499,1,10,510
24,s11726491,11726491,준오헤어 강남2호점,480,1,11,492
25,s33874401,33874401,더 부띠끄 건대점,469,3,15,487
26,s63165318,63165318,준오헤어 방배역점,470,2,11,483
27,s1646635576,1646635576,차홍룸 대치점,472,1,10,483
28,s11780868,11780868,이철헤어커커 명동1호점,469,1,13,483
29,s37207278,37207278,준오헤어 노원역점,455,1,10,466
30,s35608702,35608702,그라티아,451,1,10,462
31,s13522443,13522443,박승철헤어스투디오 홍대점,437,10,11,458
32,s1147929912,1147929912,더 부띠끄 강남점,429,1,15,445
33,s33050015,33050015,제오헤어 이수점,427,1,11,439
34,s13154187,13154187,이철헤어커커 신림점,434,2,1,437
35,s11830399,11830399,쟝피엘헤어 서울대입구역점,426,1,10,437
36,s276866921,276866921,리안헤어 신내점,421,2,10,433
37,s1476629369,1476629369,파리지엔헤어 명동점,403,1,11,415
38,s13457551,13457551,준오헤어 이수역점,398,5,11,414
39,s31197568,31197568,파란헤어 강남본점,391,1,11,403
40,s920634429,920634429,박준뷰티랩 서울대입구역점,389,1,10,400
41,s30868013,30868013,이철헤어커커 구로디지털단지역점,378,1,10,389
42,s31384717,31384717,CHOP헤어 홍대점,377,1,10,388
43,s13186001,13186001,박승철헤어스투디오 상도점,375,2,10,387
44,s33576116,33576116,다온헤어 건대점,366,1,15,382
45,s90606567,90606567,준오헤어 문정역점,366,1,11,378
46,s36763183,36763183,준오헤어 홍대2호점,365,1,10,376
47,s21387752,21387752,쟝피엘헤어 낙성대 라이프스타일점,361,1,10,372
48,s1665527436,1665527436,리안헤어 상봉역점,356,1,6,363
49,s1894939931,1894939931,헤어더뷰 서울대입구역점,351,1,10,362
50,s37207269,37207269,준오헤어 잠실롯데월드몰점,338,1,10,349
51,s35708601,35708601,이철헤어커커 목동홈플러스점,336,1,10,347
52,s35608684,35608684,진미장살롱,326,6,11,343
53,s33938157,33938157,준오헤어 가로수길점,315,9,11,335
54,s1329001579,1329001579,헤어더뷰 강남점,320,1,10,331
55,s36351504,36351504,준오헤어 구의역점,312,1,10,323
56,s31213050,31213050,리안헤어 신림점,309,1,12,322
57,s38233601,38233601,준오헤어 강남레드점,309,1,10,320
58,s902588037,902588037,박준뷰티랩 신대방삼거리점,309,1,10,320
59,s13184969,13184969,이철헤어커커 명동2호점,296,1,15,312
60,s222169546,222169546,프롬에이 아현뉴타운점,298,1,11,310
61,s11726494,11726494,준오헤어 강남1호점,297,1,10,308
62,s30809001,30809001,이철헤어커커 가양홈플러스점,295,1,10,306
63,s36072086,36072086,리안헤어 구의역점,293,1,10,304
64,s33851197,33851197,리안헤어 이수역점,296,1,7,304
65,s12053151,12053151,라리엔 명동점,280,1,12,293
66,s1045893423,1045893423,박승철헤어스투디오 이수역점,260,21,10,291
67,s36199663,36199663,살롱오디너리,276,2,10,288
68,s1407062583,1407062583,리안헤어 아차산역점,280,1,6,287
69,s37775650,37775650,살롱 드 리본,275,1,11,287
70,s1148956991,1148956991,헤어로맨스,276,1,10,287
71,s37484299,37484299,리안헤어 한양대점,270,1,15,286
72,s1173397154,1173397154,차홍룸 압구정점,270,1,10,281
73,s37207281,37207281,준오헤어 강남우성점,268,1,10,279
74,s1867773103,1867773103,박준뷰티랩 영등포역점,267,1,10,278
75,s37076679,37076679,이철헤어커커 대치점,266,1,11,278
76,s1722437544,1722437544,리안헤어 군자역점,263,1,7,271
77,s391359158,391359158,준오헤어 강남우성사거리점,257,1,12,270
78,s1785850786,1785850786,살롱드부띠크 페이버릿점,254,1,15,270
79,s38501265,38501265,라리엔 강남점,258,1,11,270
80,s18742865,18742865,제오헤어 대방점,257,1,11,269
81,s1703840024,1703840024,토니앤가이 목동2호점,255,1,13,269
82,s1173497337,1173497337,미채움헤어,255,1,13,269
83,s91786087,91786087,보그헤어 화곡점,244,13,10,267
84,s36624634,36624634,로코코헤어,253,1,11,265
85,s38525801,38525801,박승철헤어스투디오 당산역점,252,1,10,263
86,s1115349689,1115349689,로이드밤 천호점,253,2,7,262
87,s1937022489,1937022489,에이컨셉 이수점,250,1,10,261
88,s671212338,671212338,메종드아이디헤어 문정하비오점,214,31,11,256
89,s1164456562,1164456562,보그헤어 잠실새내역점,241,1,13,255
90,s1818157839,1818157839,레뮤즈,244,1,10,255
91,s13502147,13502147,토니앤가이 목동점,241,1,13,255
92,s1179531843,1179531843,로이드밤 응암역점,241,1,9,251
93,s37700083,37700083,안다미로헤어 마포점,237,1,11,249
94,s1225426775,1225426775,순시키헤어 홍대점,231,2,11,244
95,s37746945,37746945,이퀄다이아몬드,230,1,12,243
96,s37917838,37917838,살롱드부띠크 본점,227,1,15,243
97,s38003572,38003572,듀벨헤어,230,1,10,241
98,s1387964242,1387964242,준오헤어 가든준오 용산아이파크몰점,225,1,11,237
99,s36663115,36663115,헤어아티스트m 용산점,230,1,5,236
100,s1491063937,1491063937,리안헤어 봉화산역점,225,1,10,236
101,s783468304,783468304,최가을헤어드레서 화곡점,225,1,10,236
102,s37890502,37890502,그로잉살롱 본점,220,1,14,235
103,s38425836,38425836,더본헤어 동부시장점,220,1,11,232
104,s466972737,466972737,리소헤어 서울대입구점,220,1,10,231
105,s35913513,35913513,보그헤어 우장산역점,215,1,10,226
106,s1169633050,1169633050,리안헤어 장안사거리점,218,1,6,225
107,s38641784,38641784,반트헤어살롱 암사점,213,1,10,224
108,s13527417,13527417,이철헤어커커 교대점,212,1,10,223
109,s1006407012,1006407012,더부띠끄 라운지점,211,1,11,223
110,s1278852855,1278852855,CHOP헤어 송파점,210,1,11,222
111,s36364106,36364106,리소헤어 건대점,209,1,10,220
112,s36992294,36992294,리즈 헤어라벨르 홍대점,217,1,1,219
113,s557191513,557191513,준오헤어 낙성대역점,207,2,10,219
114,s11887616,11887616,데몬헤어 이대점,206,1,12,219
115,s410893842,410893842,보그헤어 아현역점,207,1,10,218
116,s37471730,37471730,데이바이데이정헤어,206,1,10,217
117,s892105169,892105169,플랜에이치 홍대점,205,1,11,217
118,s1127629589,1127629589,준오헤어 가든준오IFC몰점,204,2,10,216
119,s1421030381,1421030381,아이디헤어 아현뉴타운점,203,1,10,214
120,s21029049,21029049,이철헤어커커 잠실신천2호점,202,1,10,213
121,s37207287,37207287,준오헤어 종합운동장사거리점,200,1,10,211
122,s215119768,215119768,박준뷰티랩 사당점,203,1,5,209
123,s37207279,37207279,준오헤어 노원문화의거리점,189,7,11,207
124,s30944129,30944129,에이난 홍대점,193,1,11,205
125,s1921760811,1921760811,에이컨셉 강남2호점,193,1,10,204
126,s686653075,686653075,이가자헤어비스 공덕역점,194,1,9,204
127,s1418714277,1418714277,에피소드 헤어스토리,199,1,1,201
128,s37370153,37370153,준오헤어 목동41타워점,183,7,11,201
129,s961858874,961858874,어반그라운드헤어 상왕십리점,188,1,10,199
130,s1674221445,1674221445,박승철헤어스투디오 송파헬리오시티점,187,1,10,198
131,s32800168,32800168,준오헤어 천호역점,187,1,10,198
132,s1097198281,1097198281,리안헤어 사당로데오점,165,23,9,197
133,s1315188725,1315188725,헤어살롱 기쁘다 건대점,180,2,15,197
134,s1847594617,1847594617,오캄 현대백화점 미아점,186,1,10,197
135,s37097895,37097895,오다헤어 이태원로데오점,186,1,9,196
136,s1700494654,1700494654,준오헤어 강남역스퀘어점,183,3,10,196
137,s1638916447,1638916447,리안헤어 명일역점,190,1,4,195
138,s36997020,36997020,보그헤어 천호역점,180,1,12,193
139,s1087406696,1087406696,이진헤어 본점,179,1,11,191
140,s1045056143,1045056143,준오헤어 선릉테헤란로점,179,1,11,191
141,s11721479,11721479,와이미용실,189,1,1,191
142,s34689376,34689376,준오헤어 돈암1호점,179,1,10,190
143,s37687262,37687262,리안헤어 문정법조타운점,186,1,3,190
144,s36878425,36878425,보그헤어 신도림역점,178,1,10,189
145,s35013646,35013646,헤어벨리시마 건대점,177,1,11,189
146,s1445855462,1445855462,아버헤어 홍대 롯데호텔점,174,3,10,187
147,s34052371,34052371,H STYLE 헤어살롱 노량진점,175,1,10,186
148,s31116556,31116556,박승철헤어스투디오 타임스퀘어점,176,1,8,185
149,s37112551,37112551,Hairby우호우상 신천점,173,1,11,185
150,s36432431,36432431,떼뜨베르,172,1,11,184
151,s250475690,250475690,살롱에이 방배역1호점,176,1,7,184
152,s578554202,578554202,클라스헤어,172,1,11,184
153,s37207595,37207595,아이디헤어 은평뉴타운점,168,3,12,183
154,s1311049269,1311049269,보그헤어 창동역점,176,1,6,183
155,s36266113,36266113,제오헤어 여의도점,172,1,9,182
156,s18588871,18588871,준오헤어 선릉역1호점,169,1,11,181
157,s1140023479,1140023479,로이드밤 방화역점,170,2,8,180
158,s20080730,20080730,오유헤어&네일디자인,166,1,11,178
159,s37035964,37035964,박승철헤어스투디오 신도림홈플러스점,166,1,10,177
160,s31977823,31977823,더퍼스트헤어 안암본점,160,1,15,176
161,s34667384,34667384,이철헤어커커 오목교역점,166,1,9,176
162,s13574247,13574247,준오헤어 잠실점,163,1,10,174
163,s36084366,36084366,더헤어 감동,163,1,10,174
164,s1154632643,1154632643,어반그라운드헤어 by다비 왕십리역점,162,2,10,174
165,s34689172,34689172,헤어아티스트M 영등포점,163,1,10,174
166,s37207280,37207280,준오헤어 서울대샤로수길점,165,1,7,173
167,s37207290,37207290,준오헤어 왕십리역1호점,161,1,10,172
168,s37192368,37192368,어반그라운드헤어 약수점,158,1,10,169
169,s368515517,368515517,박승철헤어스투디오 마곡나루역점,157,1,11,169
170,s1027341085,1027341085,코벨헤어 본점,156,1,10,167
171,s36827152,36827152,리안헤어 미아사거리역점,151,1,15,167
172,s35523634,35523634,트리플헤어디자인,155,1,10,166
173,s1337516936,1337516936,준오헤어 남부터미널역점,155,1,10,166
174,s82379273,82379273,라트리헤어 스파힐 강남베르점,152,1,12,165
175,s33431131,33431131,준오헤어 건대역2호점,153,1,11,165
176,s1869573828,1869573828,공간헤어,154,1,10,165
177,s1942566726,1942566726,아쥴헤어 왕십리역점,158,1,5,164
178,s1545310362,1545310362,홀릭오다 용산점,152,1,11,164
179,s34883044,34883044,제오헤어 구로디지털단지점,155,1,8,164
180,s1936355480,1936355480,12월애헤어,153,1,10,164
181,s717923768,717923768,하룸헤어 성신여대본점,152,1,10,163
182,s1431983836,1431983836,리안헤어 석촌역점,154,1,8,163
183,s33617901,33617901,오다헤어 보광점,150,1,11,162
184,s1078206800,1078206800,지노헤어 동대문점,151,2,9,162
185,s21399206,21399206,스윕헤어,151,1,10,162
186,s37695687,37695687,박승철헤어스투디오 종로점,150,1,10,161
187,s35977788,35977788,준오헤어 영등포점,150,1,10,161
188,s11889727,11889727,쿠헤어,145,1,15,161
189,s1148613743,1148613743,샵꽁뜨,153,1,5,159
190,s1528078134,1528078134,박준뷰티랩 송파헬리오시티점,144,1,13,158
191,s37207298,37207298,준오헤어 대학로점,146,2,10,158
192,s37207293,37207293,준오헤어 천호로데오점,146,1,10,157
193,s31583340,31583340,토니앤가이 홍제점,145,1,11,157
194,s38474260,38474260,쓰담헤어,145,1,11,157
195,s37936029,37936029,준오헤어 강남화이트점,144,2,10,156
196,s38314163,38314163,김송정머리터 중랑점,143,1,11,155
197,s21074755,21074755,데몬헤어 홍대점,143,1,11,155
198,s319576515,319576515,이철헤어커커 당산역점,144,1,10,155
199,s35623536,35623536,헤어아티스트M 구로역점,144,1,10,155
200,s37207272,37207272,준오헤어 명동2호점,143,1,10,154
201,s1017263718,1017263718,아르미헤어 상봉타워 블랙점,145,1,8,154
