,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s19030814,19030814,예림미용실,1,1,1
1,s31400911,31400911,우리들미용실,1,1,1
2,s20834178,20834178,나래헤어커커,1,1,1
3,s19032460,19032460,삼미헤어샵,1,1,1
4,s33851197,33851197,리안헤어 이수역점,298,1,7
5,s38530809,38530809,리안헤어 이수2호점,60,1,1
6,s36772322,36772322,리안헤어 이수이마트점,83,1,2
7,s652524009,652524009,밀리오레헤어클럽,1,1,1
8,s18710185,18710185,조현호미용실,1,1,1
9,s20857485,20857485,이현남헤어모드,1,1,1
10,s1149225250,1149225250,헤어바이미루,1,1,1
11,s19025981,19025981,머리사랑,1,1,1
12,s1090797799,1090797799,염색사랑,1,1,1
13,s20846041,20846041,헤어클럽제이,1,1,1
14,s1305316409,1305316409,헤어J,1,1,1
15,s251031079,251031079,댕기머리미용실,1,1,1
16,s20930207,20930207,이찌헤어카락,1,1,1
17,s38010304,38010304,피가로,1,1,10
18,s20826559,20826559,머리하는날,1,1,1
19,s1063704942,1063704942,헤어피플,1,1,1
20,s19037332,19037332,골드헤어라인,1,1,1
21,s19035003,19035003,주정란헤어써클,1,1,1
22,s38544660,38544660,이정윤 헤어샵,1,1,1
23,s330270135,330270135,한지희헤어샵,1,1,1
24,s1037370762,1037370762,K헤어,1,1,1
25,s20845814,20845814,평강공주헤어샾,1,1,1
26,s13156812,13156812,진경헤어샵,1,1,1
27,s354748024,354748024,허밍미용실,1,1,1
28,s1810633656,1810633656,머리하는날,1,1,1
29,s19037969,19037969,뉴헤어클럽,1,1,1
30,s20918567,20918567,헤어준,1,1,1
31,s11574650,11574650,김동휘헤어콜렉션,1,1,1
32,s18763231,18763231,개성시대,1,1,1
33,s18756194,18756194,이주헤어커커,1,1,1
34,s11729912,11729912,블루클럽 상도역점,1,1,1
35,s20892046,20892046,투나헤어모델,1,1,1
36,s36428345,36428345,이철헤어커커 중앙대후문점,1,1,3
37,s18745859,18745859,우성아트헤어,1,1,1
38,s1568306027,1568306027,계서은제이르헤어,13,1,6
39,s18751633,18751633,숙미용실,1,1,1
40,s20933815,20933815,TIJI2,1,1,1
41,s18723319,18723319,임마누엘프로헤어,1,1,1
42,s1301764484,1301764484,더블유 헤어,1,1,1
43,s1919111770,1919111770,헤어코디,1,1,1
44,s740950515,740950515,신데렐라헤어샵,1,1,1
45,s248406106,248406106,윤비헤어,1,1,1
