,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s19851640,19851640,아리수헤어살롱,1,1,1
1,s1702929365,1702929365,데일리헤어,1,1,1
2,s36399010,36399010,DO헤어,1,1,1
3,s1027066653,1027066653,이지헤어,1,1,1
4,s35562855,35562855,이건헤어아티스트,1,1,1
5,s18426815,18426815,남자이야기,1,1,1
6,s20861083,20861083,TOP헤어,1,1,1
7,s1311206237,1311206237,수헤어,1,1,1
8,s20836488,20836488,스타헤어클럽,1,1,1
9,s1639751200,1639751200,이루다헤어샵,1,1,1
10,s324898677,324898677,마샬헤어샵,1,1,1
11,s1133385597,1133385597,압구정헤어,1,1,1
12,s1584802447,1584802447,샬롬미용실,1,1,1
13,s1846039642,1846039642,봄앤강헤어,1,1,1
14,s20872455,20872455,헤어피카소,1,1,1
15,s20914594,20914594,새로아헤어아트,1,1,1
16,s19412478,19412478,김금숙프로헤어,1,1,1
17,s20905795,20905795,럭셔리헤어,1,1,1
18,s1626050841,1626050841,헤어이끌림,1,1,1
19,s20829957,20829957,준헤어샾,1,1,1
20,s1766607783,1766607783,힐링헤어,1,1,1
21,s1928076650,1928076650,댕기댕기미용실,1,1,1
22,s1650429665,1650429665,백수연미용실,1,1,1
23,s20910704,20910704,이설화헤어샾,1,1,1
24,s1646375413,1646375413,미플러스,1,1,1
25,s1680508703,1680508703,리즈헤어,1,1,1
26,s20909822,20909822,헤어칼라,1,1,1
27,s1903196343,1903196343,유화머리방,1,1,1
28,s31401910,31401910,세원헤어라인,1,1,1
29,s18835083,18835083,현아미용실,1,1,1
30,s20526633,20526633,퍼펙트헤어살롱,1,1,1
31,s20932318,20932318,in,1,1,1
32,s20824870,20824870,도로시헤어,1,1,1
33,s18383548,18383548,프리스타일헤어 등촌점,104,1,11
34,s32116553,32116553,수헤어,1,1,1
35,s20828977,20828977,유니원헤어,1,1,1
36,s57986041,57986041,브로스헤어,45,1,10
37,s1830687238,1830687238,쿨헤어,1,1,1
38,s1935884950,1935884950,파스텔헤어,1,1,1
39,s20824908,20824908,플로체,1,1,1
40,s20502684,20502684,한스헤어탑,1,1,1
41,s38642978,38642978,더 헤어,1,1,1
42,s20058397,20058397,이리스헤어,1,1,1
43,s1589936606,1589936606,JJ헤어샵,1,1,1
44,s1440725943,1440725943,제이제이헤어샵,1,1,1
45,s38765845,38765845,로쉬헤어&스토어,6,1,2
46,s1299270783,1299270783,킵온헤어,43,1,3
47,s665687347,665687347,주헤어,,,
48,s1135639016,1135639016,희즈헤어,1,1,1
49,s1033206376,1033206376,오늘헤어,1,1,1
50,s37549343,37549343,놈헤어,1,1,1
51,s34413460,34413460,에이치헤어,1,1,1
52,s31950176,31950176,춘미용실,,,
53,s19977258,19977258,베아트리스,1,1,1
54,s18940669,18940669,보스헤어샵,1,1,1
55,s1543721362,1543721362,엠헤어,1,1,1
56,s1390873428,1390873428,러블리샵,1,1,1
57,s18935828,18935828,리즈헤어,1,1,1
58,s1634722902,1634722902,차뷰티헤어,1,1,1
59,s18394450,18394450,대원미용실,1,1,1
60,s1027409476,1027409476,미소헤어,1,1,1
61,s36005205,36005205,아산남성컷전문,1,1,1
62,s18938051,18938051,김&김헤어,1,1,1
63,s1910127960,1910127960,달리다 굼 헤어,1,1,1
64,s38300428,38300428,어울림헤어,1,1,1
65,s1350375554,1350375554,홍연화헤어케스팅,1,1,1
66,s1159032766,1159032766,글로리아미용실,1,1,1
67,s20894361,20894361,헤어정,1,1,1
68,s20913395,20913395,정미용실,1,1,1
69,s1054824522,1054824522,시크헤어,1,1,1
70,s20753472,20753472,제오헤어 까치산점,64,1,11
71,s20836669,20836669,제이제이헤어,1,1,1
72,s35254699,35254699,인팩트오타쿠 까치산점,1,1,6
73,s34761405,34761405,프로젝트라빠헤어 까치산점,57,1,5
74,s37549268,37549268,바바헤어 까치산점,50,3,1
75,s1744334290,1744334290,토리헤어 까치산역점,1,1,1
76,s1306792136,1306792136,룬붙임머리,1,1,1
77,s1188527552,1188527552,헤어419,1,1,1
78,s38506907,38506907,2층미용실,26,1,10
79,s98230970,98230970,청담헤어,1,1,1
80,s36866561,36866561,헤어살롱 밀가 까치산점,1,1,1
81,s1517638584,1517638584,애비로드 헤어,,,
82,s1219305263,1219305263,백구사헤어플랜,1,1,1
83,s38303714,38303714,예쁘다 슈,1,1,1
84,s1267692623,1267692623,파마의집,1,1,1
85,s36005206,36005206,진흥,1,1,1
86,s1532042863,1532042863,눈부신헤어,1,1,1
87,s37725602,37725602,밀팜hair,1,1,1
88,s34356506,34356506,비비헤어,1,1,1
89,s1231558042,1231558042,공감헤어,1,1,1
90,s822218451,822218451,승희미용실,1,1,1
91,s102511979,102511979,마녀헤어,1,1,1
92,s1764929268,1764929268,머리가 우장산역점,1,1,1
93,s21888999,21888999,헤어작업실,1,1,4
