,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s18570093,18570093,조희미용실,1,1,1
1,s10983326,10983326,정정원 헤어 룩,1,1,1
2,s18431392,18431392,헤어인러브,1,1,1
3,s34786519,34786519,앤즈헤어,12,1,10
4,s697084146,697084146,아나스타일,1,1,1
5,s11880276,11880276,라보노헤어 1호점,1,1,8
6,s20994406,20994406,살롱 드 브로,1,1,3
7,s1044020547,1044020547,미앤미헤어살롱,1,1,1
8,s32219467,32219467,제오헤어 압구정점,43,1,3
9,s1162694866,1162694866,에스뷰테라 대치역점,10,1,3
10,s21845046,21845046,컬처앤네이처 청담점,16,1,12
11,s1696697649,1696697649,에스헤어,2,1,5
12,s18840116,18840116,S헤어1호점,1,1,1
13,s1095251122,1095251122,에스헤어,,,
14,s754969870,754969870,에스블랙,1,1,1
15,s916279830,916279830,터치스비,1,1,3
16,s32260618,32260618,위즈인헤어,1,1,1
17,s32496464,32496464,사틴헤어 삼성역점,1,1,3
18,s93418945,93418945,쉔부른헤어살롱,1,1,1
19,s1381141756,1381141756,유은정헤어,1,1,1
20,s18807058,18807058,JOSHUA,1,1,1
21,s13102452,13102452,쎄봉,12,1,5
22,s38291418,38291418,로뎀헤어,1,1,1
23,s13075445,13075445,엔비헤어살롱,81,1,15
24,s1186558016,1186558016,리안헤어 수서역점,67,1,2
25,s935307551,935307551,벨르팜므헤어살롱,1,1,1
26,s13592219,13592219,더에이,1,1,3
27,s18839949,18839949,갤러리헤어,1,1,1
28,s20634400,20634400,윤헤어클럽,1,1,1
29,s18826661,18826661,헤어코디,1,1,1
30,s36438860,36438860,드엔,1,1,5
31,s13327235,13327235,수인스타일 논현점,37,1,15
32,s20897847,20897847,청담헤어스튜디오,1,1,1
33,s1006574115,1006574115,차지윤미용실,1,1,1
34,s522321180,522321180,써티헤어,1,1,1
35,s20889577,20889577,킴스헤어,1,1,1
36,s19994363,19994363,칼리아헤어,1,1,1
37,s13151245,13151245,나인테라피미용실,1,1,1
38,s20633072,20633072,아이비헤어살롱,1,1,2
39,s710536466,710536466,미스터헤어,1,1,1
40,s21268890,21268890,신오키새날,1,1,11
41,s13154039,13154039,헤어갤러리,1,1,1
42,s1076766708,1076766708,김지후헤어갤러리,1,1,1
43,s33938157,33938157,준오헤어 가로수길점,321,9,11
44,s1509308410,1509308410,준오헤어 신사역세로수길점,106,2,8
45,s1608609322,1608609322,스타스살롱,1,1,1
46,s21783500,21783500,헤어라떼,1,1,1
47,s20634374,20634374,DD헤어,1,1,1
48,s1722140006,1722140006,루이스,2,1,1
49,s408671002,408671002,민 왁싱,1,1,1
50,s1326456035,1326456035,제이어반터치,1,1,1
51,s934732941,934732941,더맨헤어,1,1,1
52,s1317257270,1317257270,초이브로우,1,1,1
53,s1938614944,1938614944,엘린뷰티랩,1,1,1
54,s20827780,20827780,로얄헤어샵,1,1,1
55,s19969811,19969811,TAEKKIM,1,1,1
56,s11726505,11726505,준오헤어 대치점,146,1,10
57,s34120412,34120412,더 제이 헤어메이크업,1,1,11
58,s249878237,249878237,하루앤노아,1,1,1
59,s1880086987,1880086987,가희헤어,1,1,1
60,s19718101,19718101,쟈끄데상쥬 강남역점,17,1,10
61,s35572464,35572464,쟈당헤어,2,1,5
62,s19828392,19828392,에이치 헤어살롱,22,1,1
63,s37818441,37818441,에이치스타일 가로수길,8,1,11
64,s12989035,12989035,스타일플로어 임진옥,1,1,5
65,s1135633104,1135633104,헤어지지마,1,1,1
66,s20268411,20268411,샵스테이,22,1,4
67,s37165580,37165580,반에스,85,1,11
68,s20406565,20406565,우현증메르시,34,1,10
69,s38257322,38257322,바바헤어 대치점,1,1,2
70,s13355558,13355558,슈어 바이 정민,1,1,11
71,s20377102,20377102,발렌타인,1,1,1
72,s21007306,21007306,아이벨르 압구정본점,2,1,4
73,k1562814088,1562814088,쎄미헤어,1,1,1
74,s18397835,18397835,예삐오 ABO BCVC BYHONG,1,1,3
75,s1005875309,1005875309,미스터남성커트전문점,1,1,1
76,s1338342994,1338342994,리파이너리,1,1,8
77,s1232285524,1232285524,장한나헤어,1,1,1
78,s21061216,21061216,예올,1,1,1
79,s33831186,33831186,원헤어,1,1,10
80,s20643232,20643232,원미용실,1,1,1
81,s1294273370,1294273370,민미경헤어,1,1,1
82,s37269046,37269046,모트헤어,1,1,1
83,s34958379,34958379,아이온헤어,29,1,10
84,s18467381,18467381,헤어앤바이서은경,1,1,3
85,s36166714,36166714,에스뿌아헤어,1,1,1
86,s1820055997,1820055997,에끌라,1,1,1
87,s1659743131,1659743131,헤어플레이스,1,1,1
88,s13372477,13372477,박준뷰티랩 대치점,35,1,4
89,s604350412,604350412,헤어마지코,1,1,1
90,s21613054,21613054,더샵헤어,1,1,1
91,s33039823,33039823,스타일비 미용실,1,1,1
92,s31978136,31978136,리챠드프로헤어 신논현역점,16,1,10
93,s31021384,31021384,W헤어 대치점,1,1,1
94,s82379273,82379273,라트리헤어 스파힐 강남베르점,154,1,12
95,s33912842,33912842,준오헤어 코엑스도심공항점,73,2,5
96,s1426279116,1426279116,수인스타일 삼성점,125,1,12
97,s38462333,38462333,비클래시헤어,38,1,10
98,s35976657,35976657,모즈헤어 삼성점,27,1,10
99,s36342659,36342659,수성헤어,9,1,11
100,s21407110,21407110,MJ헤어,1,1,3
101,s32358933,32358933,M3D쏘타헤어 강남점,1,1,10
102,s18449668,18449668,헤어바이러스,1,1,1
103,s1748738166,1748738166,폴스바버샵,4,1,2
104,s21086238,21086238,블링블링뷰티샵,1,1,1
105,s11858693,11858693,바비헤어,1,1,1
106,s18817210,18817210,손끝차이,1,1,1
107,s20596750,20596750,바버스,1,1,1
108,s20942756,20942756,파라다이스,1,1,1
109,s1498788228,1498788228,슈풍크헤어,1,1,1
110,s37849674,37849674,헤어존,1,1,1
111,s1746730763,1746730763,궁전헤어뱅크,1,1,1
112,s20912380,20912380,오드리헵번,1,1,1
113,s1452689674,1452689674,HAARE,1,1,1
114,k18449649,18449649,토모토모,1,1,1
115,s33158415,33158415,아이노헤어,1,1,1
116,s32262299,32262299,신혜리헤어스타,1,1,1
117,s1739188050,1739188050,오늘염색헤어,1,1,1
118,s33758240,33758240,본샵,63,1,15
119,s13566300,13566300,포레스타 청담본점,18,1,11
120,s258013837,258013837,라이온헤어,1,1,3
121,s21547290,21547290,라뷰티코아 청담 세이엇데이점,6,1,11
122,s37057319,37057319,고바이,8,1,10
123,s11831176,11831176,이경민포레 청담본점,1,1,11
124,s1593227414,1593227414,우선,1,1,6
125,s13166737,13166737,보이드바이박철,1,1,11
126,s13220674,13220674,재클린,1,1,7
127,s1353712147,1353712147,소감,8,1,9
128,s36652386,36652386,로앤로우,1,1,11
129,s31515029,31515029,인트라다by한지오 청담점,15,1,10
130,s13355189,13355189,에스휴,2,1,11
131,s31694689,31694689,엘페라,7,1,11
132,s37202351,37202351,김활란뮤제네프 청담부티끄점,1,1,11
133,s75056372,75056372,트루핏앤힐 바버샵 청담본점,1,1,10
134,s36859785,36859785,헤움,1,1,9
135,s11724354,11724354,박승철헤어스투디오 압구정로데오점,25,1,10
136,s37903600,37903600,애이수뷰티,10,1,7
137,s13053252,13053252,킹스턴 맨즈헤어,57,1,7
138,s1264362402,1264362402,블로우,1,1,3
139,s13399240,13399240,토니앤가이 청담본점,2,1,13
140,s11568230,11568230,뮤사이 살롱드점,62,2,14
141,s13355192,13355192,에이블청담,5,1,11
142,s1701102071,1701102071,엔투라지바버샵 압구정로데오점,15,1,9
143,s35708383,35708383,오랑헤어 압구정본점,70,1,15
144,s30976186,30976186,살롱프리즘,1,1,2
145,s1236017479,1236017479,아트헤어,1,1,1
146,s37298677,37298677,박철헤어살롱박철본점,1,1,1
147,s34345058,34345058,블레스바버샵,1,1,2
148,s35188120,35188120,KJ 스타일,1,1,10
149,s1439651720,1439651720,톤 헤어스튜디오,1,1,1
150,s32528267,32528267,프랑크프로보 가로수길점,1,1,7
151,s21638346,21638346,S TA HAIR,1,1,2
152,s95575426,95575426,콜라보엑스,1,1,11
153,s1650123643,1650123643,라이온헤어1,1,1,1
154,s13355182,13355182,노주원헤어그라프,3,1,1
155,s37903607,37903607,엘본헤어하우스,12,1,10
156,s12011603,12011603,헤어뉴스,1,1,1
157,s1718618926,1718618926,해아 에비뉴,1,1,2
158,s36505210,36505210,아슬란헤어,1,1,1
159,s11858131,11858131,하안미용실,1,1,1
160,s13161388,13161388,최봉관프로헤어,1,1,1
161,s1495534262,1495534262,수빈헤어&메이크업,1,1,1
162,s1355159765,1355159765,이끌,1,1,1
163,k1471613518,1471613518,팀바이블룸,1,1,1
164,s18486787,18486787,베르쥬반스,1,1,1
165,s1768453373,1768453373,정현정 parapam,1,1,1
166,s1639885374,1639885374,오색단장,1,1,1
167,s36262993,36262993,라뮤제,1,1,1
168,s36154403,36154403,행쇼를합시다,1,1,1
169,s13161353,13161353,노승만헤어본,1,1,1
170,s34565659,34565659,아낭재,,,
171,s36160589,36160589,에스살롱나인,1,1,1
172,s20866408,20866408,규리헤어,1,1,1
173,s1197245786,1197245786,조경애 헤어픽스,1,1,1
174,s1456520081,1456520081,세곡푸르지오미헤어드림,1,1,1
175,s32349630,32349630,수미헤어,1,1,1
176,s1445275975,1445275975,착한가격헤어,1,1,1
