,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s1174269790,1174269790,뉴헤어센스,1,1,1
1,s13372497,13372497,박준뷰티랩 장안점,90,1,13
2,s37521860,37521860,몽키헤어,23,1,3
3,s1169633050,1169633050,리안헤어 장안사거리점,219,1,6
4,s1971554561,1971554561,압구정헤어,21,1,10
5,s1577598498,1577598498,지나헤어룸,31,1,1
6,s19567402,19567402,알렌느헤어,1,1,1
7,s965377380,965377380,마르셀헤어,1,1,1
8,s1543042579,1543042579,쭈야살롱,1,1,1
9,s20915886,20915886,지오헤어,1,1,1
10,s38510517,38510517,VIPAGAIN,1,1,1
11,s37553899,37553899,헤어마벨,1,1,1
12,s1289469728,1289469728,리안헤어장안동점,1,1,1
13,s280644401,280644401,VA헤어메이크업두피,1,1,1
14,s20835238,20835238,펄헤어두,1,1,1
15,s20873890,20873890,정현헤어가이,1,1,1
16,s20850785,20850785,헤어코리아,1,1,1
17,s1502162662,1502162662,스링헤어,1,1,1
18,s20915717,20915717,정미용실,1,1,1
19,s586560119,586560119,BoBo Hair,1,1,1
20,s1212443213,1212443213,연hair,2,1,1
21,s1010494687,1010494687,미광헤어,1,1,1
22,k1082496102,1082496102,헤어바이준쓰,1,1,1
23,s1103910134,1103910134,쟈르댕뷰티헤어,1,1,1
24,s1296912584,1296912584,by진,1,1,1
25,s1301976507,1301976507,힐링헤어샵,1,1,1
26,s30849734,30849734,헤어코디,1,1,1
27,s20835165,20835165,수지헤어,1,1,1
28,s36912944,36912944,데이지헤어,1,1,1
29,s20893131,20893131,미라클,1,1,1
30,s1074943112,1074943112,은하헤어,1,1,1
31,s1014148497,1014148497,머리향기,1,1,1
32,s1647327141,1647327141,란헤어,1,1,1
33,s1728343085,1728343085,작은거인헤어,1,1,1
34,s1085582019,1085582019,머리사랑,1,1,1
35,s18861588,18861588,프로미용실,1,1,1
36,s1185112574,1185112574,헤어작업실,1,1,1
37,s18849723,18849723,뷰티헤어샵,1,1,1
38,s1514422521,1514422521,앙상블헤어,1,1,1
39,s13284242,13284242,미전문헤어살롱,1,1,1
40,s1215631188,1215631188,리프로미용실,1,1,1
41,s18858806,18858806,현미용실,1,1,1
42,s1267687065,1267687065,서연헤어커커,1,1,1
43,s1927237557,1927237557,코코헤어스케치,1,1,1
44,s530999032,530999032,EK Hair,1,1,1
45,s20854621,20854621,새내기투,1,1,1
46,s20858463,20858463,샴푸미용실,1,1,1
47,s20892867,20892867,강경자궁전미용실,1,1,1
48,s20510841,20510841,김헤어샵,1,1,1
49,s1087246600,1087246600,헤어플러스미,1,1,1
50,s20858290,20858290,쉐리헤어필,1,1,1
51,s36870523,36870523,J 민헤어,1,1,1
52,s1302429460,1302429460,머리사랑,1,1,1
53,s20938735,20938735,머리여행,1,1,1
54,s20835245,20835245,주니헤어스토리,1,1,1
55,s20835291,20835291,백조헤어샵,1,1,1
56,s1093787809,1093787809,화이트 미용실,1,1,1
57,s18857567,18857567,정은헤어,1,1,1
58,s18864565,18864565,우현헤어라인,1,1,1
59,s20908303,20908303,B&B헤어 장안점,1,1,1
60,s1510965635,1510965635,하슬라헤어샵,1,1,1
61,s18045467,18045467,헤어클릭,1,1,1
62,s34363008,34363008,아이디헤어 롯데백화점 청량리점,12,1,8
63,s1704107284,1704107284,크랭크헤어스튜디오 청량리점,1,1,4
64,s1237701325,1237701325,살롱드헤어 젠,1,1,1
65,s18086956,18086956,압구정헤어,1,1,1
66,s13179689,13179689,전혜리뷰티샾,1,1,1
67,s20892855,20892855,헤어리더,1,1,1
68,s20505965,20505965,헤어홀릭,1,1,1
69,s18084253,18084253,베누스미용실,1,1,1
70,s1250474770,1250474770,가위손헤어샵,1,1,1
71,s18863989,18863989,주연미용실,1,1,1
72,s19978249,19978249,귀향미용실,1,1,1
73,s20827465,20827465,서울미용실,1,1,1
74,s34713835,34713835,헤어스튜디오,1,1,1
75,s1343902792,1343902792,내가 찾던 미용실,1,1,1
76,s18859816,18859816,제니스헤어,1,1,1
77,s1615592482,1615592482,히노키헤어,1,1,1
78,s1556686019,1556686019,현준헤어,1,1,1
79,s20942372,20942372,헤어이슈,1,1,1
80,s20904514,20904514,강희미용실,1,1,1
81,s18847223,18847223,노랑머리,1,1,1
82,s20922605,20922605,주명자헤어ID,1,1,1
83,s37207595,37207595,아이디헤어 은평뉴타운점,172,3,12
84,s37413618,37413618,아이디헤어 반포3호점,139,2,11
85,s81329705,81329705,아이디헤어 대치점,138,3,10
86,s950329204,950329204,메종드아이디헤어 CBS목동점,560,11,10
87,s19570592,19570592,아이디헤어 래미안퍼스티지점,99,1,10
88,s1421030381,1421030381,아이디헤어 아현뉴타운점,205,1,10
89,s1579776147,1579776147,메종드아이디헤어 서울숲점,89,4,10
90,s671212338,671212338,메종드아이디헤어 문정하비오점,216,30,11
91,s1596435812,1596435812,아이디헤어 강남511타워점,131,19,10
92,s11893910,11893910,아이디헤어 반포1호점,58,2,11
93,s11893908,11893908,아이디헤어 잠원점,65,1,9
94,s52738799,52738799,아이디헤어 롯데몰은평점,129,3,10
95,s896340668,896340668,메종드아이디헤어 반포자이점,83,4,10
96,s20886415,20886415,헤어아이디,1,1,1
97,s20838933,20838933,하은헤어,1,1,1
98,s1044939465,1044939465,샤론헤어샾,1,1,1
99,s20854551,20854551,신데렐라헤어샵,1,1,1
100,s20919679,20919679,선헤어샵,1,1,1
101,s20838900,20838900,가와이헤어 쟁이No1,1,1,3
102,s1672492613,1672492613,유정미용실,1,1,1
103,s18054097,18054097,최가을헤어드레서 전농점,1,1,1
104,s20881571,20881571,난다랑미용실,1,1,1
105,s21646187,21646187,벨리타헤어,1,1,1
106,s18107781,18107781,우성,1,1,1
107,s36462456,36462456,헤어톡톡,1,1,1
108,s20866069,20866069,태평미용실,1,1,1
109,s19581032,19581032,이즈헤어,1,1,1
110,s61382836,61382836,햇빛헤어샵,1,1,1
111,s286798409,286798409,새봄헤어,7,1,2
112,s1481499513,1481499513,이라염색방,1,1,1
113,s1756687597,1756687597,진주미용실,1,1,1
114,s1056315705,1056315705,바람난여우,1,1,1
115,s20873872,20873872,김정은미용실,1,1,1
116,s18084266,18084266,진화영헤어샵,1,1,1
117,s20931136,20931136,아씨헤어,1,1,1
118,k18045463,18045463,엔미용실,1,1,1
119,s1443055482,1443055482,The끌림,1,1,1
120,s37653292,37653292,릴리프헤어 전농점,46,1,10
121,s1181603491,1181603491,와이앤제이헤어,1,1,1
122,s1576395654,1576395654,이난미헤어,1,1,1
123,s1884657658,1884657658,김진헤어샵,1,1,1
124,s37561676,37561676,윤희헤어,36,1,1
125,s31729318,31729318,킴스헤어라인,1,1,1
126,s31131204,31131204,폭탄머리 장안점,1,1,1
127,s21300064,21300064,나나헤어,1,1,1
128,s817751259,817751259,은채헤어뷰,7,1,10
129,s1169004776,1169004776,아르떼헤어,1,1,1
130,k1038163989,1038163989,헤어마루,1,1,1
131,s36631029,36631029,링고헤어,1,1,10
132,s1747508139,1747508139,연헤어,1,1,1
133,s31051249,31051249,태후사랑 전농점,1,1,1
134,s1921116200,1921116200,아뜰리에하루,1,1,1
135,s1418210025,1418210025,아린헤어,1,1,1
136,s1866923360,1866923360,예쁜머리방,1,1,1
137,s34087249,34087249,기분좋은날,1,1,1
138,s1256024798,1256024798,S헤어,1,1,1
139,s1113057814,1113057814,까까머리,1,1,1
140,s1237182963,1237182963,예쁜머리,1,1,1
141,s34321135,34321135,세르피에헤어 1호점,1,1,10
142,s37889562,37889562,세르피에헤어 2호점,1,1,10
143,s1739991472,1739991472,루이헤어,1,1,1
144,s34582447,34582447,JJ헤어,1,1,1
145,s35560164,35560164,다인헤어,1,1,1
146,s1912814718,1912814718,오땡큐 전농점,1,1,1
147,s1889944920,1889944920,지노이만헤어,2,1,1
148,s1541336804,1541336804,나비헤어,1,1,1
