,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s1313477139,1313477139,폴라리스헤어샵,1,1,1
1,s13150535,13150535,예시카,1,1,1
2,s604129416,604129416,미학미용실,1,1,1
3,s20622264,20622264,각시머리방,1,1,1
4,s726511152,726511152,타임헤어서초점,1,1,1
5,s999827978,999827978,헤어카페,1,1,1
6,s18358188,18358188,성민미용실,1,1,1
7,s37879910,37879910,샤르망헤어,1,1,1
8,s1171182572,1171182572,이경민포레 반포점,22,1,2
9,s36561036,36561036,릴리프헤어 반포점,1,1,4
10,s290854837,290854837,수연헤어,1,1,1
11,s1785850786,1785850786,살롱드부띠크 페이버릿점,1,1,15
12,s36561078,36561078,커밍헤어,129,1,10
13,s36690422,36690422,에이프릴헤어,1,1,1
14,s36823842,36823842,DK HAIR,1,1,1
15,s36803944,36803944,용군샵,4,1,1
16,s722650192,722650192,샴푸로 염색하세요,1,1,1
17,s1125871658,1125871658,더엠브이지클럽,1,1,1
18,s36905464,36905464,Wythe138,1,1,8
19,s37008506,37008506,리안헤어 서초내곡점,1,1,1
20,s36883089,36883089,살랑,1,1,4
21,s595463239,595463239,로즈펌헤어,1,1,1
22,s1023985863,1023985863,아미가미용실,1,1,1
23,s1876700203,1876700203,뷰티어스 남부터미널점,122,1,11
24,s1432299303,1432299303,MH맨헤어 논현점,1,1,1
25,s37373398,37373398,1층 미용실 엄쏭,3,1,2
26,s37397762,37397762,케네스송헤어,1,1,1
27,s590758995,590758995,아르스헤어,1,1,1
28,s906843022,906843022,헤어스케치,1,1,1
29,s37537969,37537969,위너헤어,1,1,1
30,s1327416507,1327416507,에이치헤어,1,1,1
31,s13150231,13150231,김주현헤어공간,1,1,1
32,s992263783,992263783,고운손길,1,1,1
33,s1316476217,1316476217,머리염색방,1,1,1
34,s37864992,37864992,내 멋대로 헤어,1,1,10
35,s1770728163,1770728163,헤어마담봉,1,1,1
36,s38464795,38464795,정연헤어,1,1,1
37,s65072877,65072877,찬오헤어,1,1,1
38,s37917666,37917666,헬로우컷 양재우면점,1,1,1
39,s37936029,37936029,준오헤어 강남화이트점,144,2,10
40,s38233601,38233601,준오헤어 강남레드점,311,1,10
41,s11726494,11726494,준오헤어 강남1호점,298,1,10
42,s11726491,11726491,준오헤어 강남2호점,484,1,11
43,s38453959,38453959,블루클럽 양재역점,1,1,1
44,s964842436,964842436,주헤어살롱,1,1,1
45,s38511407,38511407,0429헤어,4,1,4
46,s38767096,38767096,스타일리스트jy,3,1,1
47,s38779993,38779993,살롱드쉬즈모,1,1,10
48,s163992031,163992031,머리지음,1,1,4
49,s1633094433,1633094433,골드헤어,1,1,1
50,s665939516,665939516,박승철헤어스투디오 서초점,6,1,3
51,s308573246,308573246,유니헤어공감,1,1,2
